x	y	id	closest_pump_bird_flies_id
8.280715	11.56829	1	3
8.311067	7.202524	2	4
8.325407	7.166975	3	4
8.342558	7.136541	4	4
8.436085	7.393596	5	5
8.73591	12.05172	6	3
8.757473	12.02333	7	3
8.771104	10.94251	8	3
8.812553	15.13408	9	2
8.840331	12.13417	10	3
8.863929	12.10775	11	3
9.046618	11.20749	12	3
9.083952	13.21588	13	3
9.105901	6.343998	14	4
9.200059	11.97217	15	3
9.207745	11.08172	16	3
9.217884	12.33342	17	3
9.224811	10.83608	18	3
9.262066	10.66323	19	3
9.285564	10.63081	20	3
9.327332	12.16842	21	3
9.378991	10.9628	22	3
9.423313	10.79384	23	3
9.442908	10.76749	24	3
9.466473	10.73907	25	3
9.487955	10.70568	26	3
9.501461	11.54471	27	3
9.511439	10.67225	28	3
9.53302	10.64486	29	3
9.556584	10.61644	30	3
9.579331	11.78081	31	3
9.582069	10.58299	32	3
9.595812	10.9393	33	3
9.610787	11.80735	34	3
9.618408	10.91289	35	3
9.693037	11.00984	36	3
9.736776	12.35915	37	3
9.794394	11.77236	38	3
9.813148	12.50214	39	3
9.847669	12.53263	40	3
9.854939	12.17599	41	3
9.870624	12.40407	42	3
9.878124	12.55918	43	3
9.921976	11.86345	44	3
9.933102	12.30593	45	3
9.944605	11.83905	46	3
10.02774	11.28289	47	3
10.0868	11.47022	48	3
10.10162	10.64977	49	3
10.1881	11.91827	50	3
10.27732	11.36702	51	3
10.30772	9.4627	52	5
10.31367	11.38647	53	3
10.33884	11.39608	54	3
10.38257	10.56815	55	7
10.38407	11.159	56	3
10.39745	11.306	57	3
10.40739	11.17765	58	3
10.43369	11.19426	59	7
10.43663	11.56376	60	3
10.43855	11.80709	61	3
10.45107	11.77685	62	3
10.46296	11.20981	63	7
10.48503	12.45631	64	3
10.49377	12.87479	65	3
10.52485	12.31847	66	3
10.52977	11.62937	67	3
10.53582	11.01035	68	7
10.54701	12.32713	69	3
10.55035	11.602	70	7
10.56304	11.58176	71	7
10.56813	11.02786	72	7
10.58664	11.86681	73	3
10.62561	10.92979	74	7
10.64479	9.882927	75	5
10.64812	11.70659	76	7
10.6587	11.67938	77	7
10.68826	12.45906	78	3
10.69892	12.00221	79	7
10.71447	12.47066	80	3
10.75256	8.843783	81	5
10.77831	11.64841	82	7
10.80179	9.687121	83	5
10.80275	9.933474	84	5
10.80653	11.66098	85	7
10.87104	9.823215	86	5
10.8983	12.01404	87	7
10.9025	14.69996	88	2
10.91304	14.67075	89	2
10.92631	14.62447	90	2
10.93261	12.03151	91	7
10.93752	9.725004	92	5
10.94726	16.4859	93	6
10.95782	12.04313	94	7
10.96288	9.745629	95	5
10.96399	11.18275	96	7
10.9726	11.34485	97	7
10.97379	11.85359	98	7
10.98912	9.759229	99	5
10.99125	11.19733	100	7
10.99315	12.06159	101	7
11.00403	11.86713	102	7
11.01349	11.211	103	7
11.01652	9.782825	104	5
11.0271	11.74557	105	7
11.03126	11.87971	106	7
11.04585	11.23151	107	7
11.06231	11.75703	108	7
11.07184	11.10491	109	7
11.07647	11.64163	110	7
11.10299	11.11242	111	7
11.12639	9.643859	112	5
11.12872	11.52963	113	7
11.15694	14.775	114	2
11.17129	14.73371	115	2
11.17751	8.616005	116	5
11.18297	11.41759	117	7
11.19962	8.586758	118	5
11.2153	11.4361	119	7
11.24757	11.45161	120	7
11.26415	10.80238	121	7
11.27275	11.46122	122	7
11.324	9.79492	123	7
11.36395	9.602994	124	5
11.38291	9.910148	125	7
