x1	y1	x2	y2	id
3.3900001	18.3969994	4.9920001	18.441	1
3.405966	17.5355129	3.3900001	18.3969994	2
3.405966	17.5355129	3.733	17.6210003	3
3.4272959	16.3845978	3.405966	17.5355129	4
3.4272959	16.3845978	3.518651	16.0325737	5
3.4498279	15.1688366	3.721	15.2480001	6
3.4498279	15.1688366	3.4272959	16.3845978	7
3.518651	16.0325737	3.944	16.1590004	8
3.518651	16.0325737	3.721	15.2480001	9
3.547796	9.882741	3.4498279	15.1688366	10
3.5814071	8.0692205	3.547796	9.882741	11
3.608146	6.6264238	3.5814071	8.0692205	12
3.6485059	4.44873	3.6991789	4.482688	13
3.6485059	4.44873	3.608146	6.6264238	14
3.671	3.2349999	3.6485059	4.44873	15
3.6991789	4.482688	4.5018001	3.2588379	16
3.6991789	4.482688	4.5265012	5.0371218	17
3.721	15.2480001	4.9097862	15.4901791	18
3.733	17.6210003	4.2443171	16.7018509	19
3.733	17.6210003	5.0978222	18.0533352	20
3.743839	12.0125303	4.25	12.3050003	21
3.7690001	13.7049999	4.25	12.3050003	22
4.2443171	16.7018509	3.4272959	16.3845978	23
4.2443171	16.7018509	4.2927132	16.6148548	24
4.25	12.3050003	5.1874361	12.6099167	25
4.2529998	7.0689998	5.0223222	8.1036558	26
4.2529998	7.0689998	3.608146	6.6264238	27
4.2529998	7.0689998	3.5814071	8.0692205	28
4.2927132	16.6148548	5.4027152	16.9372101	29
4.2927132	16.6148548	4.9097862	15.4901791	30
4.3077641	10.2040005	3.743839	12.0125303	31
4.3077641	10.2040005	3.547796	9.882741	32
4.5018001	3.2588379	3.671	3.2349999	33
4.5265012	5.0371218	5.6504951	3.2917969	34
4.5265012	5.0371218	5.2339149	5.511199	35
4.9097862	15.4901791	5.0250001	15.5159998	36
4.9313369	11.5090504	5.0630178	10.8767004	37
4.9678168	5.9228268	4.2529998	7.0689998	38
4.9678168	5.9228268	5.8547659	6.449976	39
4.9920001	18.441	6.4789462	18.4790497	40
4.9920001	18.441	5.0978222	18.0533352	41
5.0223222	8.1036558	4.3077641	10.2040005	42
5.0223222	8.1036558	6.0532022	9.4900789	43
5.0250001	15.5159998	5.6999531	15.6256208	44
5.0250001	15.5159998	5.1300001	14.9499998	45
5.0630178	10.8767004	5.3715849	10.6868267	46
5.0691819	10.41014	4.3077641	10.2040005	47
5.0901632	10.321764	5.0691819	10.41014	48
5.0901632	10.321764	5.3715849	10.6868267	49
