IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150766445,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,08/31/2015,22:00,CENTRAL,NONE,800 Block of HYDE ST,-122.416992162344,37.7886442171326,"(37.7886442171326, -122.416992162344)",15076644506243
150779733,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,08/31/2015,22:00,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239,"(37.8096707013239, -122.365565425353)",15077973305151
150765732,NON-CRIMINAL,FOUND PROPERTY,Monday,08/31/2015,22:00,CENTRAL,NONE,400 Block of VALLEJO ST,-122.404353886978,37.799189519741,"(37.799189519741, -122.404353886978)",15076573272000
156222405,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,08/31/2015,22:00,BAYVIEW,NONE,BARNEVELD AV / DORMAN AV,-122.404394388343,37.7392489238351,"(37.7392489238351, -122.404394388343)",15622240506374
150765378,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,08/31/2015,21:45,CENTRAL,NONE,300 Block of POWELL ST,-122.408384275542,37.7878271137225,"(37.7878271137225, -122.408384275542)",15076537864085
150765403,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,08/31/2015,21:45,INGLESIDE,"ARREST, BOOKED",4700 Block of MISSION ST,-122.436194484896,37.7227270383576,"(37.7227270383576, -122.436194484896)",15076540304138
150765384,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,08/31/2015,21:34,PARK,"ARREST, BOOKED",1700 Block of FULTON ST,-122.445652525154,37.7759612670837,"(37.7759612670837, -122.445652525154)",15076538462050
150765384,ASSAULT,BATTERY OF A POLICE OFFICER,Monday,08/31/2015,21:34,PARK,"ARREST, BOOKED",1700 Block of FULTON ST,-122.445652525154,37.7759612670837,"(37.7759612670837, -122.445652525154)",15076538404154
150765384,OTHER OFFENSES,RESISTING ARREST,Monday,08/31/2015,21:34,PARK,"ARREST, BOOKED",1700 Block of FULTON ST,-122.445652525154,37.7759612670837,"(37.7759612670837, -122.445652525154)",15076538427170
150765629,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,21:30,INGLESIDE,NONE,DIAMOND ST / CHENERY ST,-122.433880171424,37.7345081627742,"(37.7345081627742, -122.433880171424)",15076562906244
150765964,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Monday,08/31/2015,21:30,SOUTHERN,NONE,500 Block of 2ND ST,-122.392394160659,37.7820214120882,"(37.7820214120882, -122.392394160659)",15076596407100
150765497,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,08/31/2015,21:20,PARK,NONE,1400 Block of MCALLISTER ST,-122.435901090932,37.7781618593837,"(37.7781618593837, -122.435901090932)",15076549764020
150765497,ASSAULT,BATTERY,Monday,08/31/2015,21:20,PARK,NONE,1400 Block of MCALLISTER ST,-122.435901090932,37.7781618593837,"(37.7781618593837, -122.435901090932)",15076549704134
150765356,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,08/31/2015,21:20,MISSION,NONE,3500 Block of 20TH ST,-122.419476923934,37.7586620229741,"(37.7586620229741, -122.419476923934)",15076535615200
150765356,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,08/31/2015,21:20,MISSION,NONE,3500 Block of 20TH ST,-122.419476923934,37.7586620229741,"(37.7586620229741, -122.419476923934)",15076535628150
150791408,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,08/31/2015,21:18,NORTHERN,NONE,2100 Block of CHESTNUT ST,-122.43872325496,37.8005583558889,"(37.8005583558889, -122.43872325496)",15079140809320
150765287,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,08/31/2015,21:17,NORTHERN,"ARREST, BOOKED",WEBSTER ST / FULTON ST,-122.429850411503,37.7779180624996,"(37.7779180624996, -122.429850411503)",15076528765016
150765293,WEAPON LAWS,FIREARM WITH ALTERED IDENTIFICATION,Monday,08/31/2015,21:13,MISSION,"ARREST, BOOKED",2800 Block of HARRISON ST,-122.411752574468,37.751820136318,"(37.751820136318, -122.411752574468)",15076529327122
150765293,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Monday,08/31/2015,21:13,MISSION,"ARREST, BOOKED",2800 Block of HARRISON ST,-122.411752574468,37.751820136318,"(37.751820136318, -122.411752574468)",15076529312080
150765293,WEAPON LAWS,POSS OF LOADED FIREARM,Monday,08/31/2015,21:13,MISSION,"ARREST, BOOKED",2800 Block of HARRISON ST,-122.411752574468,37.751820136318,"(37.751820136318, -122.411752574468)",15076529312100
156216834,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,08/31/2015,21:00,CENTRAL,NONE,NORTHPOINT ST / MASON ST,-122.413789467437,37.8065526528708,"(37.8065526528708, -122.413789467437)",15621683406372
150766257,LARCENY/THEFT,"LICENSE PLATE OR TAB, THEFT OF",Monday,08/31/2015,21:00,BAYVIEW,NONE,2900 Block of JENNINGS ST,-122.393516073105,37.7217475776805,"(37.7217475776805, -122.393516073105)",15076625706246
150765550,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,21:00,NORTHERN,NONE,HEMLOCK ST / POLK ST,-122.420021471047,37.7872807076108,"(37.7872807076108, -122.420021471047)",15076555006244
150788295,MISSING PERSON,MISSING ADULT,Monday,08/31/2015,21:00,TARAVAL,NONE,2700 Block of 42ND AV,-122.499817519151,37.735610137349,"(37.735610137349, -122.499817519151)",15078829574000
156215488,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,21:00,NORTHERN,NONE,1300 Block of BUSH ST,-122.419486234049,37.7887480806774,"(37.7887480806774, -122.419486234049)",15621548806244
156216668,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,21:00,CENTRAL,NONE,MONTGOMERY ST / PACIFIC AV,-122.403678112414,37.7972972029479,"(37.7972972029479, -122.403678112414)",15621666806244
150770662,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Monday,08/31/2015,20:56,SOUTHERN,NONE,800 Block of MARKET ST,-122.406690592261,37.7852071918419,"(37.7852071918419, -122.406690592261)",15077066271024
150770662,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,08/31/2015,20:56,SOUTHERN,NONE,800 Block of MARKET ST,-122.406690592261,37.7852071918419,"(37.7852071918419, -122.406690592261)",15077066206363
150767998,ASSAULT,BATTERY,Monday,08/31/2015,20:50,PARK,NONE,1800 Block of HAYES ST,-122.44691608078,37.773886367051,"(37.773886367051, -122.44691608078)",15076799804134
150765243,NON-CRIMINAL,FIRE REPORT,Monday,08/31/2015,20:40,PARK,NONE,1000 Block of CLAYTON ST,-122.447308234851,37.7639254905474,"(37.7639254905474, -122.447308234851)",15076524368000
150765174,LARCENY/THEFT,PETTY THEFT BICYCLE,Monday,08/31/2015,20:30,CENTRAL,NONE,300 Block of GRANT AV,-122.405618748152,37.7903200915161,"(37.7903200915161, -122.405618748152)",15076517406312
150765544,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,08/31/2015,20:30,SOUTHERN,NONE,2ND ST / KING ST,-122.389595283252,37.7798611974198,"(37.7798611974198, -122.389595283252)",15076554407021
156220879,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,08/31/2015,20:30,INGLESIDE,NONE,1500 Block of BIRCHWOOD CT,-122.425871514802,37.7085443858928,"(37.7085443858928, -122.425871514802)",15622087906224
156220885,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,08/31/2015,20:30,INGLESIDE,NONE,1500 Block of BIRCHWOOD CT,-122.425871514802,37.7085443858928,"(37.7085443858928, -122.425871514802)",15622088506224
150765500,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,08/31/2015,20:30,MISSION,NONE,24TH ST / FOLSOM ST,-122.414089000708,37.7525050785758,"(37.7525050785758, -122.414089000708)",15076550064020
150766310,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,08/31/2015,20:20,INGLESIDE,NONE,MISSION ST / AMAZON AV,-122.440416226696,37.7172459880077,"(37.7172459880077, -122.440416226696)",15076631009320
150765049,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,08/31/2015,20:15,TENDERLOIN,NONE,200 Block of LEAVENWORTH ST,-122.414081138014,37.7832767266062,"(37.7832767266062, -122.414081138014)",15076504904014
156215325,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:15,RICHMOND,NONE,1000 Block of GREAT HY,-122.510225749052,37.7672442209616,"(37.7672442209616, -122.510225749052)",15621532506244
150765055,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,08/31/2015,20:10,SOUTHERN,NONE,800 Block of MARKET ST,-122.406520987144,37.7850629421661,"(37.7850629421661, -122.406520987144)",15076505506363
150765005,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,08/31/2015,20:05,CENTRAL,"ARREST, BOOKED",DRUMM ST / WASHINGTON ST,-122.396962385547,37.7963478739442,"(37.7963478739442, -122.396962385547)",15076500528160
150765005,WARRANTS,WARRANT ARREST,Monday,08/31/2015,20:05,CENTRAL,"ARREST, BOOKED",DRUMM ST / WASHINGTON ST,-122.396962385547,37.7963478739442,"(37.7963478739442, -122.396962385547)",15076500563010
156216721,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,08/31/2015,20:00,CENTRAL,NONE,HYDE ST / POST ST,-122.416642370005,37.787245037815,"(37.787245037815, -122.416642370005)",15621672128150
150770195,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,08/31/2015,20:00,CENTRAL,NONE,1100 Block of MONTGOMERY ST,-122.404216929938,37.7996385451312,"(37.7996385451312, -122.404216929938)",15077019507021
150765390,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,SOUTHERN,NONE,0 Block of THE EMBARCADEROSOUTH ST,-122.388379873919,37.7833104067015,"(37.7833104067015, -122.388379873919)",15076539006243
150765221,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,CENTRAL,NONE,0 Block of WASHINGTON ST,-122.396179887825,37.7964479465401,"(37.7964479465401, -122.396179887825)",15076522106242
150765607,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,CENTRAL,NONE,900 Block of CLAY ST,-122.408944948383,37.793872142778,"(37.793872142778, -122.408944948383)",15076560706244
150774642,OTHER OFFENSES,FALSE PERSONATION,Monday,08/31/2015,20:00,INGLESIDE,NONE,100 Block of FOOTE AV,-122.446180478783,37.7136973102992,"(37.7136973102992, -122.446180478783)",15077464209027
150765663,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,MISSION,NONE,18TH ST / CASTRO ST,-122.435002864298,37.7608878061194,"(37.7608878061194, -122.435002864298)",15076566306244
156216624,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,CENTRAL,NONE,NORTHPOINT ST / POLK ST,-122.423658369809,37.8052850926566,"(37.8052850926566, -122.423658369809)",15621662406244
156216646,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,CENTRAL,NONE,POST ST / JONES ST,-122.413358051141,37.7876637195721,"(37.7876637195721, -122.413358051141)",15621664606244
156218153,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,SOUTHERN,NONE,FOLSOM ST / 4TH ST,-122.401161555602,37.7820238478975,"(37.7820238478975, -122.401161555602)",15621815306244
150768504,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,08/31/2015,20:00,TENDERLOIN,NONE,0 Block of MASON ST,-122.409268441444,37.7837998723601,"(37.7837998723601, -122.409268441444)",15076850409320
156215529,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,20:00,NORTHERN,NONE,1900 Block of LAGUNA ST,-122.428742222674,37.7890732712158,"(37.7890732712158, -122.428742222674)",15621552906244
150769148,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,08/31/2015,20:00,MISSION,NONE,300 Block of CLIPPER ST,-122.432761361114,37.7489060579989,"(37.7489060579989, -122.432761361114)",15076914806371
150765679,NON-CRIMINAL,FOUND PROPERTY,Monday,08/31/2015,19:54,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869,"(37.8084350175869, -122.410774214375)",15076567972000
150764944,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,08/31/2015,19:52,MISSION,NONE,2700 Block of MISSION ST,-122.41844919178,37.7530267515876,"(37.7530267515876, -122.41844919178)",15076494406364
150765425,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,19:50,SOUTHERN,NONE,TOWNSEND ST / CLYDE ST,-122.393540688388,37.7782321627386,"(37.7782321627386, -122.393540688388)",15076542506244
150764916,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,08/31/2015,19:49,SOUTHERN,NONE,5TH ST / WELSH ST,-122.399765430206,37.7773711261408,"(37.7773711261408, -122.399765430206)",15076491664020
150765027,ASSAULT,BATTERY,Monday,08/31/2015,19:40,INGLESIDE,NONE,5200 Block of DIAMONDHEIGHTS BL,-122.439065944959,37.7442774766877,"(37.7442774766877, -122.439065944959)",15076502704134
150764972,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Monday,08/31/2015,19:40,CENTRAL,"ARREST, BOOKED",0 Block of BROADWAY ST,-122.399295690795,37.798859198392,"(37.798859198392, -122.399295690795)",15076497271024
150764881,NON-CRIMINAL,FOUND PROPERTY,Monday,08/31/2015,19:39,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,"(37.7564864109309, -122.406539115148)",15076488172000
150765130,WARRANTS,WARRANT ARREST,Monday,08/31/2015,19:39,NORTHERN,"ARREST, BOOKED",POLK ST / TURK ST,-122.418996371999,37.7821689138292,"(37.7821689138292, -122.418996371999)",15076513063010
150764966,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,08/31/2015,19:37,INGLESIDE,"ARREST, BOOKED",GENEVA AV / ATHENS ST,-122.434539756215,37.7134749361653,"(37.7134749361653, -122.434539756215)",15076496665010
150764966,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,08/31/2015,19:37,INGLESIDE,"ARREST, BOOKED",GENEVA AV / ATHENS ST,-122.434539756215,37.7134749361653,"(37.7134749361653, -122.434539756215)",15076496665016
150764966,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,08/31/2015,19:37,INGLESIDE,"ARREST, BOOKED",GENEVA AV / ATHENS ST,-122.434539756215,37.7134749361653,"(37.7134749361653, -122.434539756215)",15076496664085
150764784,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,08/31/2015,19:31,BAYVIEW,"ARREST, BOOKED",PALOU AV / 3RD ST,-122.390971734551,37.7340152180723,"(37.7340152180723, -122.390971734551)",15076478465016
150765168,"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE",Monday,08/31/2015,19:30,SOUTHERN,NONE,1000 Block of HOWARD ST,-122.408520791815,37.7785853155801,"(37.7785853155801, -122.408520791815)",15076516802004
150765168,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,08/31/2015,19:30,SOUTHERN,NONE,1000 Block of HOWARD ST,-122.408520791815,37.7785853155801,"(37.7785853155801, -122.408520791815)",15076516864070
156216630,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,19:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",15621663006244
150774937,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,08/31/2015,19:30,INGLESIDE,NONE,2200 Block of CASTRO ST,-122.433425332579,37.7436940236526,"(37.7436940236526, -122.433425332579)",15077493707021
156216599,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,19:30,CENTRAL,NONE,POLK ST / BEACH ST,-122.42384881373,37.8062214269911,"(37.8062214269911, -122.42384881373)",15621659906244
156215466,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,19:30,SOUTHERN,NONE,600 Block of 2ND ST,-122.391336579912,37.7811758808197,"(37.7811758808197, -122.391336579912)",15621546606244
150766291,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Monday,08/31/2015,19:30,INGLESIDE,NONE,300 Block of MANSELL ST,-122.404455403233,37.7204722792412,"(37.7204722792412, -122.404455403233)",15076629171010
150764803,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,08/31/2015,19:30,INGLESIDE,"ARREST, BOOKED",MISSION ST / SAINT MARYS AV,-122.426114636731,37.7339541274733,"(37.7339541274733, -122.426114636731)",15076480365016
150764869,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,08/31/2015,19:25,MISSION,NONE,3600 Block of 18TH ST,-122.424441066925,37.7615817831416,"(37.7615817831416, -122.424441066925)",15076486964070
150764897,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,08/31/2015,19:19,SOUTHERN,NONE,800 Block of MARKET ST,-122.406520987144,37.7850629421661,"(37.7850629421661, -122.406520987144)",15076489764020
150764950,WEAPON LAWS,"WEAPON, DEADLY, EXHIBITING TO RESIST ARREST",Monday,08/31/2015,19:10,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.7828430233213,"(37.7828430233213, -122.413237516676)",15076495027173
150764950,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,08/31/2015,19:10,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.7828430233213,"(37.7828430233213, -122.413237516676)",15076495062050
156226463,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,19:05,CENTRAL,NONE,POLK ST / BEACH ST,-122.42384881373,37.8062214269911,"(37.8062214269911, -122.42384881373)",15622646306244
156216715,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,08/31/2015,19:00,CENTRAL,NONE,HYDE ST / CLAY ST,-122.417761976795,37.7928030545176,"(37.7928030545176, -122.417761976795)",15621671506224
150764988,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,08/31/2015,19:00,CENTRAL,NONE,1200 Block of GRANT AV,-122.407049542301,37.7983399167576,"(37.7983399167576, -122.407049542301)",15076498864020
150765613,MISSING PERSON,MISSING JUVENILE,Monday,08/31/2015,19:00,SOUTHERN,NONE,0 Block of MOSS ST,-122.407999186749,37.7778241673064,"(37.7778241673064, -122.407999186749)",15076561374010
150765265,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,08/31/2015,19:00,BAYVIEW,NONE,400 Block of MISSOURI ST,-122.396412336265,37.7606466801574,"(37.7606466801574, -122.396412336265)",15076526528160
150765152,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Monday,08/31/2015,19:00,NORTHERN,NONE,800 Block of HAYES ST,-122.43040309844,37.7759915316036,"(37.7759915316036, -122.43040309844)",15076515219050
150764728,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,08/31/2015,19:00,CENTRAL,"ARREST, BOOKED",300 Block of POWELL ST,-122.408384275542,37.7878271137225,"(37.7878271137225, -122.408384275542)",15076472862050
150767948,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,08/31/2015,19:00,TARAVAL,NONE,100 Block of HOLLOWAY AV,-122.454626342676,37.7217950398713,"(37.7217950398713, -122.454626342676)",15076794807023
150779517,OTHER OFFENSES,"MONEY, PROPERTY OR LABOR, FRAUDULENTLY OBTAINING",Monday,08/31/2015,19:00,INGLESIDE,NONE,100 Block of FOOTE AV,-122.446180478783,37.7136973102992,"(37.7136973102992, -122.446180478783)",15077951709031
150765146,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,08/31/2015,18:56,BAYVIEW,"ARREST, BOOKED",200 Block of TOPEKA AV,-122.397314524057,37.732892025232,"(37.732892025232, -122.397314524057)",15076514664085
150765146,WARRANTS,PAROLE SEARCH,Monday,08/31/2015,18:56,BAYVIEW,"ARREST, BOOKED",200 Block of TOPEKA AV,-122.397314524057,37.732892025232,"(37.732892025232, -122.397314524057)",15076514662070
150765146,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,08/31/2015,18:56,BAYVIEW,"ARREST, BOOKED",200 Block of TOPEKA AV,-122.397314524057,37.732892025232,"(37.732892025232, -122.397314524057)",15076514627130
150764687,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,08/31/2015,18:50,NORTHERN,"ARREST, CITED",GEARY BL / CLEARY CT,-122.426449161534,37.7851513851678,"(37.7851513851678, -122.426449161534)",15076468765016
150765237,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,18:50,SOUTHERN,NONE,800 Block of MISSION ST,-122.405395493939,37.7835100715421,"(37.7835100715421, -122.405395493939)",15076523706244
